Species1	Species2	Distance
ZYMMO	TRIV2	1.11943
BORPD	SPIPN	1.16885
TARSY	KLULA	1.07823
METS5	CRYPV	1.25416
MARM1	BRADI	1.17522
THEPD	CANLF	1.20136
AEDAE	TAKRU	0.87183
NAEGR	TUPBE	1.07443
METKA	CIOIN	1.25414
PICTO	NEUCR	1.38257
LACBI	XENTR	1.16103
BRAFL	MYCMG	1.31929
ANOGA	BRADI	1.23004
PLAF7	NAEGR	1.15266
AMPQE	ICTTR	0.96837
THEEB	SORBI	0.99094
GLOVI	PEDHC	1.24789
DECAR	GADMO	1.16019
CAUVC	COXBR	1.04712
EMIHU	ASPFU	1.12959
CIOSA	NECHA	1.19804
CARRP	SOYBN	1.11762
LOALO	MAIZE	1.03893
ACYPI	MAGGR	1.26615
NOSP7	CYAME	0.93791
AMPQE	TURTR	0.94914
IXOSC	PRIPA	0.98621
ATETH	MUCCI	1.11397
MONDO	ICTTR	0.27962
ACYPI	GASAC	0.87359
DROME	SELML	1.20177
SYNAS	ERIEU	1.14720
NAEGR	SOYBN	1.08531
COPCI	ERIEU	1.07607
MONBE	ORYSJ	1.08291
SPIPN	NOSCE	1.09446
AZOPC	ARATH	1.09138
DROME	STRPU	0.90292
COCLU	CYAME	1.06002
DECAR	MUSPF	1.19426
SULMD	OSTLU	1.15886
ACAM1	CAPO3	1.17553
METCA	CANLF	1.13843
CAPTE	RHIOR	1.00956
OTOGA	TAKRU	0.48259
PIGXX	PRUPE	1.17540
THEPD	CULQU	1.27480
MUCCI	TUBMM	0.84703
METLZ	ENCCU	1.30308
CHLT9	DICPU	1.15498
DECAR	DESVV	1.06268
TRYB2	GIBZA	1.18672
TAKRU	SCHPO	1.06484
PICTO	IXOSC	1.31822
KORCO	BOVIN	1.26645
CRYNJ	PRIPA	1.04448
HETAN	SARHA	1.17895
TRIEI	MACMU	1.26836
AZOPC	SULNB	1.13948
EHRCJ	CANAW	1.08780
PRIPA	VITVI	1.13946
ECOLI	TAEGU	1.26267
TRIV2	NAEGR	1.23809
CROS5	CLOTE	1.17801
SYNJA	DAPPU	1.22127
THEPD	CENSY	1.08469
CENSY	MAGGR	1.26586
MONDO	NASVI	0.87750
DROME	MOUSE	0.85668
GLOVI	SELML	1.04169
METBF	PEDHC	1.29190
METTH	FELCA	1.21816
NEMVE	TUBMM	1.04058
DAPPU	MYOLU	0.82247
TRIV2	COPCI	1.16237
GORGO	CYAME	0.98789
COPCI	CIOIN	1.20093
TRIV2	TARSY	1.20571
METTH	NECHA	1.26817
METS5	MARHT	1.21962
METBF	DICNV	1.27177
TRIEI	CAVPO	1.28269
HAEI1	SORBI	1.15169
SCHCO	MOUSE	1.15557
PHYBL	MANES	1.10588
CAUVC	MAGGR	1.18896
AERHH	CARRP	1.17635
CLAM3	MARMM	1.15821
ECOLI	LATCH	1.27031
AILME	PANTR	0.12467
POSPM	TRIAD	1.23331
CULQU	NASVI	0.79236
THEAC	RATNO	1.32580
ECOLI	VITVI	1.19676
HAEI1	BRADI	1.14451
CHLRE	SOYBN	0.86393
AERHH	PTEVA	1.19812
ICTTR	SOLLC	1.21475
POSPM	ACYPI	1.27567
NANEQ	LOXAF	1.18994
GEOSL	LATCH	1.22404
DAPPU	GASAC	0.82796
TRIV2	GEOSL	1.08295
NITGG	LOALO	1.24893
CAUVC	PONAB	1.19861
AMPQE	ECHTE	0.94053
SCHCO	LODEL	0.95179
NITSB	TOXGO	1.08231
PLAF7	NEUCR	1.17840
RUTMC	DANRE	1.13509
PYRHO	GORGO	1.25523
MICAN	HORSE	1.21247
AERPE	SORC5	1.24159
IXOSC	NASVI	0.79374
SULMD	CAEEL	1.18204
CONWI	PRIPA	1.30496
AERPE	GADMO	1.24305
ZYMMO	AEDAE	1.27815
EHRCJ	TURTR	1.12173
TAEGU	SORBI	1.19113
BATDE	TETNG	1.00362
FELCA	GIBZA	1.13209
NITSB	HUMAN	1.23760
AERHH	AMPQE	1.14670
DESVV	STRPU	1.26152
NAEGR	MICMU	1.05734
THEPD	DICPU	1.32806
MYOLU	SOLLC	1.15688
SULNB	TRIAD	1.29166
GUITH	CANAW	1.10055
GIAIC	CRYPA	1.19682
DESAS	SCHPO	1.18744
NOMLE	POPTR	1.14097
CRYPV	VITVI	1.05889
BRAFL	STRPU	0.94828
MACEU	PRUPE	1.12356
DESAS	GIAIC	1.24256
DASNO	FELCA	0.17477
AGRFC	CULQU	1.25189
PICTO	THEKO	1.10222
CENSY	DESVV	1.23749
NITSB	ORYLA	1.21305
NITSB	LOXAF	1.24185
DICNV	LODEL	1.16821
CAMC5	DASNO	1.23552
COCLU	PELSI	1.18266
COXBR	RUTMC	0.79597
CRYPV	GIAIC	1.17321
SULMD	NEUCR	1.18296
DEBHA	SOLLC	1.23346
THEEB	DAPPU	1.18442
PANTR	SOYBN	1.09449
ANOCA	HELRO	0.85030
NEIG1	COPCI	1.09304
BATDE	DIPOR	0.97168
CIOSA	GASAC	0.77293
CANLF	GIBZA	1.11557
THEKO	NECHA	1.27610
MARMM	GADMO	1.17812
CAPTE	CIOSA	0.82411
PICTO	MYCMG	1.41246
CHICK	VERDA	1.13323
CAPO3	EMIHU	0.96981
METTH	COPPD	1.22821
CARRP	RUTMC	1.11383
IGNH4	DEBHA	1.21988
PICTO	ANOCA	1.36461
TRYB2	PIGXX	1.18913
CLAM3	NEUCR	1.28790
EMIHU	CAPTE	1.06157
CRYPA	LODEL	0.91502
CRYNJ	ANOCA	1.05431
USTMA	BATDE	0.86576
MUSPF	PHYBL	0.99286
OSTLU	NASVI	1.14203
NITMS	NECHA	1.28931
HELRO	NOSCE	1.13391
SARHA	DEBHA	1.13591
NITOC	EMIHU	1.10505
NANEQ	BOVIN	1.20232
CHLP6	HUMAN	1.16384
CRYNJ	TARSY	1.03659
BRARP	NITOC	1.09297
PANTR	SORBI	1.14418
ACYPI	SARHA	0.87306
CANAW	PICST	0.51660
HALVD	CAEEL	1.33757
PSEP1	MACEU	1.16457
RATNO	STRPU	0.84809
METS5	AILME	1.29787
AERPE	METCA	1.27678
PYRHO	STRPU	1.27097
COPPD	PSEP1	1.21336
DICDI	OSTLU	1.10359
PSEP1	TRIAD	1.25590
CENSY	DROME	1.30895
PHACH	OSTLU	1.03911
ARCFU	CRYPV	1.20483
SORAR	SETIT	1.11422
TETNG	CANAW	1.12561
CROS5	MANES	1.05517
USTMA	GUITH	1.03629
CLAM3	GUITH	1.18771
CIOIN	NECHA	1.22717
LOALO	LODEL	1.07007
CALMQ	MARM1	1.40530
GASAC	RATNO	0.48007
CLAM3	PHYBL	1.21348
TOXGO	BATDE	0.98374
IGNH4	METJA	1.01343
THEAC	HELRO	1.35463
SCHMA	SETIT	1.02307
METLZ	SCHPO	1.29954
HAEI1	COPCI	1.09715
DASNO	SETIT	1.19745
METCA	BATDE	1.14080
TRIV2	MUCCI	1.18452
NITSB	MUSPF	1.22319
METS5	VERDA	1.38915
HALVD	CHICK	1.28420
BDEBA	LEPOC	1.20445
METFK	SCLS1	1.14255
PROMA	METS5	1.32281
APIME	CANLF	0.82463
AERPE	TUPBE	1.17947
METKA	ORYLA	1.22426
CHLT9	APIME	1.19830
HUMAN	MYOLU	0.16210
CLOTE	CANLF	1.21078
NITGG	EMIHU	1.21971
CHOHO	PHYIT	1.03194
EMIHU	TETNG	1.03141
BORPD	CANAW	1.26226
IGNH4	DEIPM	1.22775
EMIHU	STRPU	1.04854
LOTGI	NECHA	1.22050
NITOC	PEDHC	1.20659
METJA	TARSY	1.22450
CAUVC	GADMO	1.21482
CROS5	NOMLE	1.24456
CULQU	SELML	1.24386
BOVIN	ECHTE	0.19205
LACBI	CAVPO	1.06227
PICTO	HELRO	1.35231
NEIG1	SOLLC	1.10915
CRYPV	TRYB2	1.13343
GIAIC	NEUCR	1.20191
EHRCJ	LOTGI	1.16692
BRARP	AEDAE	1.23188
SYNAS	PHACH	1.18338
METS5	PICST	1.37385
KORCO	PONAB	1.26876
COXBR	OTOGA	1.19882
COPPD	TAKRU	1.19352
METJA	MARMM	1.30006
CAMC5	DICNV	1.12301
CHOHO	ASHGO	1.02668
METBF	CAPTE	1.29797
CLAM3	GIAIC	1.35662
AZOPC	BRADI	1.08470
SPIPN	MYOLU	0.98894
CAPO3	SORBI	1.07305
ZYMMO	VERDA	1.25897
SACS2	CLOTE	1.34579
HETAN	ARATH	1.36858
NITGG	GEOSL	1.20745
NEUCR	YEAST	0.91015
MYOLU	SETIT	1.15252
METKA	GADMO	1.22134
METTH	NASVI	1.27837
CONWI	NITSB	1.24566
NASVI	PIGXX	0.85054
MARHT	SPIPN	1.09951
CRYPV	RHIOR	0.97805
COXBR	ANOCA	1.23648
NEMVE	MUCCI	1.01958
PUCGT	OSTLU	1.04121
METLZ	CHLRE	1.21861
LACBI	CANLF	1.03765
PYRHO	ICTTR	1.27137
TRIEI	TAEGU	1.29013
GEOSL	SORAR	1.16926
OTOGA	SOLLC	1.19576
USTMA	STRPU	1.11983
CALJA	MYCMG	1.27501
ATETH	SCHCO	1.10878
TETNG	CYAME	0.99938
DECAR	ERIEU	1.13073
NOSP7	TRIEI	0.57608
PYRHO	OCHPR	1.25602
NITMS	TUBMM	1.26074
NOSP7	PTEVA	1.27907
GADMO	XENTR	0.46969
KORCO	CAEEL	1.28284
ACAM1	ICTTR	1.26407
DEIPM	CAPO3	1.12521
CHLRE	CHICK	1.09382
BATDE	ORNAN	0.99408
PYRHO	LEPOC	1.26670
GIAIC	LOXAF	1.22179
COXBR	SOLLC	1.18076
DANRE	PELSI	0.53152
COXBR	VITVI	1.14348
PLAF7	TETNG	1.14097
