Species1	Species2	Distance
PYRHO	SARHA	1.27244
CAMC5	STRPU	1.27512
BORPD	SYNP6	1.08818
SYNP6	OCHPR	1.15839
PLAF7	PHYBL	1.06139
CALJA	PRIPA	0.93588
HUMAN	SCHPO	1.06597
HALVD	PROCA	1.25099
SULNB	SELML	1.15870
EMIHU	FELCA	1.02426
METLZ	PROCA	1.21526
NAEGR	CRYPA	1.12587
CLOTE	CIOIN	1.27746
PICTO	LEPOC	1.35569
NITOC	CANAW	1.15782
METLZ	SULNB	1.25205
ATETH	SYNP6	0.63219
MONBE	PICST	1.07805
HUMAN	TETNG	0.47239
SULMD	SCLS1	1.12027
MUCCI	DEBHA	0.90879
CRYPV	ENCCU	1.07915
DESAS	ICTTR	1.21524
METBF	OSTLU	1.22960
NITMS	GEOSL	1.25252
AGRFC	LATCH	1.21850
EMIHU	MONDO	1.04880
PLAF7	NECHA	1.18796
SULNB	RABIT	1.23578
ATETH	NEUCR	1.19415
GORGO	LODEL	1.09524
CHICK	PHYIT	1.09411
CROS5	CIOIN	1.28474
LEPOC	MYCMG	1.30938
SULNB	CRYPV	1.24183
SYNAS	BRAFL	1.21320
SYNJA	BOVIN	1.17628
CONWI	EMIHU	1.19249
ECHTE	SCHMA	0.89084
HUMAN	TUPBE	0.12182
DIPOR	PONAB	0.14837
CONWI	RUTMC	1.16886
SCHMA	POPTR	0.97528
SULMD	MICMU	1.19437
ECOLI	BOVIN	1.28122
CAVPO	CIOSA	0.76308
PUCGT	PHYIT	1.13261
AERPE	LEPOC	1.24922
METFK	SCHCO	1.11445
DESVV	SCHCO	1.19272
AERPE	MUSPF	1.23606
PSEP1	PEDHC	1.33746
CAVPO	NOSCE	1.15547
ANOGA	NOSCE	1.11403
LEIMA	MANES	1.12049
PTEVA	ASPFU	1.07810
ECHTE	TRICA	0.82724
USTMA	PHYIT	1.12760
STRPU	MONBE	1.02924
CAMC5	GORGO	1.26467
METBF	LATCH	1.26048
TRIV2	CYAME	0.92246
PLAF7	MAIZE	1.01250
COXBR	MUCCI	1.16727
GUITH	LOTGI	1.06375
CLOTE	MEDTR	1.12275
NITSB	DESAS	1.15936
DICDI	BOMMO	1.13643
MAGGR	MYCMG	1.27470
DAPPU	ECHTE	0.81106
CROS5	CAVPO	1.25208
NITSB	CHOHO	1.16323
GLOVI	PELSI	1.23919
CIOSA	MONBE	0.97254
PYRNV	GORGO	1.24351
CHLT9	GLOVI	1.11645
NITSB	COPCI	1.13471
PTEVA	TAKRU	0.47143
DICPU	ERIEU	1.07170
PROMA	ARATH	0.96700
CRYNJ	LEPOC	1.08740
CAUVC	TURTR	1.17178
OCHPR	ORNAN	0.30021
ECHTE	ORYSJ	1.07462
AZOPC	DEIPM	1.11757
THEPD	METTH	1.05714
LOTGI	SETIT	1.18691
ICTTR	SETIT	1.22136
SPIPN	TRIAD	0.99671
MARHT	RHIOR	1.12486
BORPD	NITOC	0.87643
SPIPN	ASPFU	0.92612
GUITH	GORGO	1.06395
CHOHO	CYAME	0.95736
DICDI	NAEGR	1.10298
GIAIC	DASNO	1.22135
IGNH4	ARCFU	1.01305
LEPOC	MONDO	0.46215
KORCO	GADMO	1.26300
TRIEI	APIME	1.32526
AERPE	CYAME	1.18114
AZOPC	CALJA	1.15213
SYNP6	DICDI	1.18954
NITSB	PTEVA	1.21132
ERIEU	ASHGO	1.03240
THEAC	PANTR	1.31399
DICNV	SETIT	1.18253
MICMU	SOYBN	1.04587
CENSY	DICNV	1.30066
DESVV	APIME	1.26239
PYRNV	VITVI	1.21446
CLOTE	ENCCU	1.30351
DICNV	ARATH	1.15984
AZOPC	CANAW	1.16284
CHLRE	OCHPR	1.07485
APIME	TURTR	0.83067
CIOIN	PELSI	0.81300
CANAW	POPTR	1.17656
SORC5	SCLS1	1.30951
NOSP7	ENCCU	1.32722
IGNH4	EHRCJ	1.33876
MUSPF	ERIEU	0.15179
ZYMMO	ECOLI	1.04623
MACEU	ENCCU	1.09997
BORPD	APIME	1.26923
DIPOR	MAGGR	1.08597
DESAS	RHIOR	1.16869
SACS2	NEMVE	1.35257
CIOSA	TUBMM	1.07330
CLAM3	GORGO	1.27953
NITGG	MARM1	1.34048
DECAR	PICST	1.16755
CONWI	ERIEU	1.22221
CRYNJ	NOMLE	1.05758
CAVPO	CIOIN	0.81470
USTMA	MANES	1.13892
PLAF7	TARSY	1.22253
ORNAN	NEUCR	1.09048
CULQU	MYOLU	0.86163
SULNB	MYOLU	1.25070
AERHH	COPCI	1.14404
PRIPA	TRIAD	1.01833
MACMU	SELML	1.10268
ASHGO	KLULA	0.62664
BATDE	DROME	1.02405
BOVIN	PICST	1.09233
NATPD	PELSI	1.29071
OSTLU	GUITH	0.98470
BORPD	COXBR	0.93002
CAMC5	DAPPU	1.24856
LEIMA	DROME	1.18942
PONAB	ICTTR	0.13792
AERHH	OSTLU	1.11284
YARLI	NOSCE	1.09675
LOALO	NASVI	0.95635
CLAM3	OSTLU	1.13905
SYNJA	DROME	1.18582
TREME	CAPO3	1.01829
GLOVI	CIOIN	1.28627
NATPD	TRIAD	1.33747
CALJA	SELML	1.10271
LEPMJ	PEDHC	1.19279
THEPD	TARSY	1.23427
CHLRE	HUMAN	1.06749
CALMQ	ECHTE	1.29061
ZYMMO	CALJA	1.19511
ERIEU	SCHPO	1.02647
KLULA	BRADI	1.19540
CENSY	ANOGA	1.28982
CAVPO	MONBE	0.98900
METBF	NITOC	1.19813
FELCA	MONBE	0.98438
NOSA0	PRUPE	1.00651
RATNO	ORYSJ	1.20718
USTMA	MYOLU	1.03922
NATPD	MICMU	1.26068
CHLT9	BOMMO	1.17557
HELRO	MEDTR	1.14913
AEDAE	LOXAF	0.86586
USTMA	BOMMO	1.14028
METKA	CHLP6	1.31236
PUCGT	CAPTE	1.05164
NITEU	COCLU	1.20828
PLAF7	FELCA	1.15902
NOSP7	ECHTE	1.22251
LEIMA	CIOSA	1.13713
POSPM	HUMAN	1.20250
PICTO	PELSI	1.35260
ERIEU	PELSI	0.31356
MOUSE	PEDHC	0.83540
GIAIC	HUMAN	1.23178
CENSY	NAEGR	1.26375
BOVIN	FELCA	0.13343
ORNAN	PHYIT	1.08772
MACMU	YARLI	1.06067
GORGO	MEDTR	1.19839
SCHMA	TRIAD	0.91584
MICAN	ICTTR	1.21992
CENSY	GUITH	1.20639
GUITH	CAPTE	1.08326
CARRP	CULQU	1.28095
HELRO	LEPOC	0.82099
TAKRU	CRYPA	1.14742
METFK	LEPMJ	1.12108
NITMS	YARLI	1.25653
DESAS	LOXAF	1.22477
MICMU	MYOLU	0.14941
SACS2	PRIPA	1.36473
ANOCA	SETIT	1.31589
ECOLI	HUMAN	1.26457
BOMMO	SCHPO	1.08595
EHRCJ	RUTMC	1.05135
TUBMM	SOLLC	1.15369
USTMA	NOMLE	1.06350
ANOCA	ASHGO	1.08010
CRYNJ	MYCMG	1.22185
GASAC	TAKRU	0.22426
BRARP	CAEEL	1.23285
PUCGT	CANLF	1.01233
NITGG	ACYPI	1.28798
DESVV	XENTR	1.26623
AMPQE	SCHMA	0.96592
KLULA	SORBI	1.19414
DIPOR	HELRO	0.80766
CALMQ	SOLLC	1.28387
BATDE	EMIHU	0.98929
HALVD	CANLF	1.23310
CHLRE	GIBZA	1.13603
MACMU	KLULA	1.06991
METLZ	BRAFL	1.32785
NITOC	TRYB2	1.18336
PYRHO	TRIV2	1.31705
MUSPF	VITVI	1.09780
NITMS	GASAC	1.28895
CONWI	PICST	1.39425
NATPD	DICPU	1.31461
BDEBA	PANTR	1.17221
SPIPN	PTEVA	0.98840
METJA	LOTGI	1.27369
KORCO	TOXGO	1.18303
AERHH	HAEI1	0.60052
SPIPN	NASVI	1.06268
GORGO	SOLLC	1.16714
SULMD	TAKRU	1.16848
LOTGI	CANAW	1.11505
CALJA	GIBZA	1.11194
CHLP6	OTOGA	1.18442
BOMMO	CIOIN	0.87862
METJA	BRADI	1.16185
DECAR	MICMU	1.15387
THEPD	MEDTR	1.25619
BATDE	PANTR	0.96595
PSEP1	MOUSE	1.26712
PICTO	TETNG	1.37010
NAEGR	AILME	1.10127
NITGG	NEMVE	1.23959
PICTO	CANAW	1.34785
ACAM1	CAMC5	1.20040
COCLU	VITVI	1.26786
CALMQ	THEKO	1.07243
CHLP6	COPPD	1.12717
NITSB	HORSE	1.23451
MUCCI	PICST	0.90986
GEOSL	NITSB	1.00387
NITOC	BOMMO	1.16160
SULNB	ICTTR	1.24268
NITOC	PONAB	1.13527
CLAM3	CLOTE	1.29802
ZYMMO	PHYPA	1.06332
SPIPN	TARSY	0.98925
MONDO	PEDHC	0.86410
PROMA	ORYLA	1.18792
POSPM	MEDTR	1.38811
PYRHO	SORC5	1.29349
IXOSC	ASPFU	1.13244
SACS2	MARMM	1.35363
METFK	ECOLI	0.91007
AILME	PRUPE	1.17358
NEIG1	TRIV2	1.08305
NEIG1	MARHT	1.03522
HELRO	XENTR	0.83255
ERIEU	YEAST	1.03023
CHLRE	SORAR	1.04537
SULNB	CANLF	1.23824
BATDE	PEDHC	1.01603
GLOVI	AILME	1.20479
AMPQE	MYOLU	0.94961
CIOIN	MAIZE	1.19983
TRYB2	BOMMO	1.19067
PRUPE	SORBI	0.61076
MICAN	LEPMJ	1.18628
LEPOC	TAKRU	0.36957
CHOHO	DROME	0.84611
BOVIN	SOYBN	1.12866
KORCO	ORYSJ	1.24209
MONDO	SELML	1.15345
MARM1	MEDTR	1.20521
DESVV	SCLS1	1.21486
TAKRU	GIBZA	1.17487
SACS2	MEDTR	1.30901
MONDO	PONAB	0.25790
CAUVC	CROS5	1.15032
RUTMC	PHYBL	1.05013
NOSA0	TOXGO	1.03945
NOSA0	ORNAN	1.21332
POSPM	YEAST	0.98927
CARRP	DANRE	1.23601
CENSY	MEDTR	1.23250
CENSY	RHIOR	1.20397
MOUSE	ORYSJ	1.26509
PELSI	PIGXX	0.32483
CLAM3	AMPQE	1.27102
HETAN	TAEGU	1.14106
CLOTE	STRPU	1.28933
METLZ	NECHA	1.36926
METBU	AERHH	1.28151
CAMC5	LEIMA	1.14816
HALVD	ASPFU	1.28129
ANOCA	DIPOR	0.35354
SULNB	MARM1	1.18308
OTOGA	DEBHA	1.13344
ANOGA	OTOGA	0.87700
THEKO	MAIZE	1.20343
APIME	CHICK	0.84609
BATDE	AMPQE	1.00691
LEPMJ	PHYIT	1.17708
AGRFC	PROMA	1.12923
BRARP	PRIPA	1.15641
CALJA	ORYLA	0.48087
METJA	PYRHO	0.85068
POSPM	DIPOR	1.19903
AGRFC	PANTR	1.18998
XENTR	SCLS1	1.11324
AILME	CIOIN	0.81645
CRYPV	LOTGI	1.00872
DESAS	OTOGA	1.23475
DANRE	PRUPE	1.23445
METBF	ANOCA	1.26859
PLAF7	SPIPN	1.17198
LACBI	RHIOR	0.79893
CIOSA	POPTR	1.20155
MUSPF	ORYSJ	1.13470
CARRP	PHYIT	1.20307
MARHT	CRYPA	1.14023
MOUSE	PRIPA	1.00960
MYOLU	TAEGU	0.29733
PHYBL	ARATH	1.14020
LACBI	YEAST	0.94181
GASAC	PELSI	0.45485
NATPD	CHICK	1.29209
DROME	PENCH	1.24460
CLAM3	CALJA	1.23235
DEIPM	LEIMA	1.11165
CANAW	VITVI	1.20753
TREME	FELCA	1.04936
GASAC	PICST	1.12748
SCHCO	SORBI	1.27293
HETAN	IXOSC	1.12619
CHLT9	POPTR	1.09094
HALVD	PHYBL	1.27336
TURTR	SETIT	1.09106
ZYMMO	NITEU	1.03974
USTMA	MONBE	1.02658
ANOGA	SOYBN	1.20345
ECHTE	SELML	1.04101
NITMS	CHOHO	1.26623
AGRFC	DECAR	1.06937
SYNP6	TUBMM	1.13223
EMIHU	BOVIN	1.02900
BRARP	MONDO	1.13833
NATPD	POPTR	1.26627
LEIMA	LOALO	1.16205
NOSP7	PHACH	1.18851
KORCO	ECOLI	1.33280
METS5	SETIT	1.24457
RATNO	MUCCI	0.99216
TRIV2	POSPM	1.31709
NITEU	NECHA	1.17490
HORSE	OTOGA	0.13322
SULMD	GORGO	1.13308
CONWI	NITEU	1.13919
CHICK	GADMO	0.41822
METBF	BRAFL	1.26037
MUCCI	SOLLC	1.11559
MICAN	BRAFL	1.24667
METS5	AEDAE	1.35682
TRYB2	TURTR	1.17674
BATDE	LEIMA	1.13532
MICAN	LODEL	1.17985
CULQU	SORAR	0.83872
GASAC	PIGXX	0.47102
NANEQ	PUCGT	1.18455
CULQU	PHYBL	1.07168
RUTMC	CRYPA	1.09433
SCHCO	SCLS1	0.91320
ACAM1	OCHPR	1.24540
SYNP6	NAEGR	1.19122
GIAIC	TARSY	1.28009
AGRFC	ECHTE	1.11857
AERPE	SOYBN	1.20959
CHLRE	NAEGR	1.06177
NITGG	ARATH	1.22748
TRICA	ASPFU	1.30430
CLAM3	PELSI	1.27606
GIAIC	KLULA	1.16230
LOTGI	MOUSE	0.84288
NEIG1	ECHTE	1.10761
OSTLU	APIME	1.11225
PLAF7	ASPFU	1.12887
CRYNJ	MAIZE	1.17319
GADMO	TETNG	0.26922
BATDE	PRUPE	1.05688
NOSA0	RHIOR	1.11087
TOXGO	DICPU	0.98939
DAPPU	SCHMA	0.92335
DANRE	YEAST	1.07945
TREME	PEDHC	1.08495
CAMC5	NOSCE	1.33705
NITGG	CRYPA	1.25512
LEPOC	PRUPE	1.20650
IGNH4	CLOTE	1.32709
DECAR	GEOSL	1.02420
LOTGI	RATNO	0.82946
CONWI	EHRCJ	1.16999
IGNH4	PROCA	1.16887
MARM1	TUBMM	1.23094
MUCCI	GIBZA	0.89947
PTEVA	MUCCI	0.98668
PROMA	HUMAN	1.20103
COCLU	CAEEL	1.20990
TRIEI	DEIPM	1.13790
ORYLA	TAEGU	0.43593
DICNV	DICPU	1.18644
BORPD	COCLU	1.29804
PICTO	GEOSL	1.31422
CHLT9	CLOTE	1.19728
NOSA0	MARM1	1.14051
EHRCJ	TUPBE	1.08389
BOMMO	MOUSE	0.84936
PHYBL	GIBZA	0.89336
ATETH	ANOGA	1.18145
MARMM	TRIV2	1.17301
CAUVC	SORAR	1.15483
DECAR	MARM1	0.98425
DICNV	NAEGR	1.17847
THEEB	SOYBN	0.97216
BDEBA	ORNAN	1.20601
SCHCO	TRIAD	1.12700
COXBR	MAGGR	1.21731
DESVV	AMPQE	1.18740
AERPE	METTH	1.05878
CAUVC	CYAME	1.02219
DROME	TURTR	0.86688
MYOLU	TETNG	0.48419
AILME	YARLI	1.09469
CALMQ	ENCCU	1.30369
MARHT	TAEGU	1.15124
EHRCJ	CROS5	1.13719
CAMC5	BOVIN	1.24779
HALVD	PLAF7	1.29693
COXBR	PROCA	1.16063
COPCI	DIPOR	1.12641
BDEBA	TAKRU	1.19921
NEMVE	TRICA	0.84013
TURTR	ARATH	1.09551
CHLRE	HELRO	1.11159
MAIZE	PRUPE	0.56855
MARHT	ANOGA	1.16962
COPPD	ICTTR	1.18945
SCHCO	MEDTR	1.31133
THEKO	PELSI	1.25499
TUPBE	VITVI	1.05075
METLZ	SYNP6	1.22314
CARRP	CHLRE	1.09566
DECAR	KLULA	1.13694
THEPD	DAPPU	1.28938
CRYPV	ASPFU	1.10828
METFK	IXOSC	1.12605
NOSP7	TRICA	1.31841
IGNH4	CANLF	1.15130
POSPM	SOLLC	1.38707
DESAS	SOLLC	1.09028
METTH	ANOGA	1.26521
ARCFU	OSTLU	1.20167
SORC5	CAEEL	1.33796
HUMAN	MOUSE	0.18765
NEUCR	VERDA	0.53966
MICMU	OTOGA	0.10081
METLZ	LOTGI	1.31995
NITGG	NEIG1	1.25913
NANEQ	FELCA	1.22843
CAMC5	LOXAF	1.24276
NATPD	DEIPM	1.18280
NOSP7	SULNB	1.19676
MICMU	TRIAD	0.86949
NITEU	HELRO	1.21460
THEAC	EMIHU	1.29581
CALJA	FELCA	0.13917
APIME	STRPU	0.89515
PTEVA	LODEL	1.07813
GEOSL	GIBZA	1.18659
DECAR	DASNO	1.16972
EHRCJ	NITOC	1.08036
PROMA	PENCH	1.14905
CENSY	METCA	1.22178
LOTGI	PHYBL	1.00204
CAPTE	PIGXX	0.80940
TREME	DASNO	1.04694
THEEB	TRIAD	1.16977
TOXGO	ANOGA	1.14371
SYNJA	DESAS	1.07114
SACS2	GIAIC	1.33071
PENCH	SCLS1	0.66824
POPTR	SCHPO	1.07352
ANOCA	ANOGA	0.87244
CAUVC	SETIT	1.16533
HETAN	PIGXX	1.12579
PICTO	CYAME	1.27106
DECAR	MYOLU	1.18880
AILME	TAEGU	0.28910
NOSA0	NECHA	1.21076
HETAN	SOLLC	1.38966
AERPE	NITGG	1.08054
ERIEU	RABIT	0.17789
NANEQ	SCHPO	1.22996
LATCH	DIPOR	0.41464
CIOSA	LOALO	0.91957
RABIT	ARATH	1.21242
METBF	CANLF	1.22149
NEMVE	PHYIT	1.07523
METBU	AEDAE	1.31003
MARM1	LATCH	1.23869
PONAB	TRICA	0.82895
SORC5	VITVI	1.23428
IXOSC	PEDHC	0.75691
DICNV	PRIPA	1.22381
ATETH	NECHA	1.15526
METKA	HORSE	1.19080
HAEI1	MACEU	1.14754
ARCFU	ECOLI	1.28473
LEPOC	STRPU	0.87686
RUTMC	NOSCE	1.30717
IGNH4	TRIEI	1.25516
BORPD	CIOSA	1.29863
CRYPV	MEDTR	1.05553
COXBR	CALJA	1.17486
KORCO	CANLF	1.21581
NEMVE	PTEVA	0.78035
NANEQ	ATETH	1.34661
LEPMJ	MYOLU	1.11279
METCA	CULQU	1.21733
CAMC5	ARATH	1.15054
MONBE	MANES	1.04062
NOMLE	KLULA	1.10174
NITMS	MARMM	1.30152
NEIG1	METCA	0.80519
ATETH	SETIT	0.93295
ATETH	GIBZA	1.14948
PROMA	COPPD	1.18153
SORC5	TARSY	1.25486
CULQU	LODEL	1.17323
THEEB	USTMA	1.09534
DROME	MYCMG	1.33491
HETAN	DIPOR	1.12467
DIPOR	HUMAN	0.14631
OSTLU	CANAW	1.10595
MARHT	MARM1	1.12157
DICNV	MICMU	1.19508
ICTTR	ASHGO	1.07919
PYRHO	NOSCE	1.30028
STRPU	ORYSJ	1.25120
THEPD	GLOVI	1.29396
LEPOC	PTEVA	0.43144
BORPD	DECAR	0.65475
COCLU	APIME	1.26146
SYNAS	ORYLA	1.19464
AERHH	APIME	1.24405
CAMC5	COPCI	1.14190
CHLP6	MARHT	1.05176
CROS5	APIME	1.27565
CLAM3	CANAW	1.27109
CAPTE	MYCMG	1.32341
ACAM1	PHYIT	1.15638
CHLRE	ORYSJ	0.86650
PYRHO	HETAN	1.22880
LEIMA	MACEU	1.11368
METKA	NANEQ	1.04485
GUITH	PHYPA	0.97734
NITGG	LACBI	1.23551
CHLRE	CAVPO	1.08185
BOVIN	NASVI	0.85474
DEIPM	PSEP1	1.06806
MACEU	PIGXX	0.23054
DIPOR	ENCCU	1.08109
CALMQ	BOVIN	1.29757
METBF	HAEI1	1.29591
MUSPF	MACEU	0.21976
GLOVI	CYAME	0.94754
CONWI	CALJA	1.24610
CHLT9	NAEGR	1.20401
COXBR	OSTLU	1.10017
PYRNV	PIGXX	1.24413
MYOLU	TRICA	0.83420
DASNO	NOMLE	0.16139
MARHT	ENCCU	1.29724
METKA	PHACH	1.20417
PYRNV	AZOPC	1.37538
GORGO	NOSCE	1.14816
DESAS	DAPPU	1.22229
TRIV2	SETIT	1.08181
CRYPV	KLULA	1.10249
TRIEI	MEDTR	1.03013
HUMAN	ORYLA	0.47282
CAPO3	CANAW	1.05395
FELCA	PTEVA	0.11331
CHLT9	NASVI	1.20631
EHRCJ	MANES	1.01383
COXBR	PUCGT	1.11443
PLAF7	ICTTR	1.15237
NAEGR	PONAB	1.10571
THEPD	NITSB	1.34467
NITOC	NASVI	1.21518
CONWI	NECHA	1.36210
ACYPI	CIOSA	0.85631
SACS2	PHYIT	1.32751
HALVD	APIME	1.33957
PRIPA	ORYSJ	1.18148
OSTLU	LOALO	1.06556
TRIV2	GIAIC	1.27735
PYRHO	NOSP7	1.30783
PHACH	ENCCU	1.05208
DIPOR	YEAST	1.06754
TAEGU	PHYPA	1.05060
TRYB2	VITVI	1.23012
PYRNV	NAEGR	1.25572
CAMC5	MAGGR	1.17904
NOSA0	SORAR	1.16828
AERPE	TRIEI	1.31444
NITEU	MYOLU	1.18651
ARCFU	LOXAF	1.25055
SCHCO	PONAB	1.09407
COPPD	PELSI	1.17422
TRIEI	PENCH	1.20897
PYRHO	GEOSL	1.23402
HETAN	PENCH	0.91764
SULMD	HELRO	1.16663
COPCI	PTEVA	1.10553
GASAC	PHYPA	1.02301
PELSI	RATNO	0.33294
PUCGT	RATNO	1.02643
ACAM1	HAEI1	1.14385
NITGG	MOUSE	1.25465
KORCO	MICMU	1.26682
IGNH4	LODEL	1.20758
CHLT9	DASNO	1.14865
METTH	CIOSA	1.27680
ECHTE	MAIZE	1.01309
KORCO	TRIEI	1.32414
AMPQE	KLULA	1.09807
XENTR	PICST	1.11298
AMPQE	PHYIT	1.08938
MARMM	NEMVE	1.19641
CONWI	CAEEL	1.31816
LEPMJ	SCLS1	0.66173
DECAR	DESAS	1.13968
CHLT9	OCHPR	1.15908
GLOVI	MONDO	1.23953
TAEGU	PRUPE	1.18799
CRYNJ	AILME	1.04841
LOXAF	VERDA	1.10244
MACEU	ORYSJ	1.10328
NANEQ	LEPOC	1.21639
METBU	NAEGR	1.20350
AEDAE	NOMLE	0.87247
DANRE	PROCA	0.47663
SULMD	ATETH	1.06362
RUTMC	RATNO	1.12130
BATDE	ACYPI	1.04787
PANTR	TRICA	0.82930
GADMO	SELML	1.07788
BOMMO	PRUPE	1.14307
MICAN	CAPTE	1.24525
TRIEI	ACYPI	1.30875
BDEBA	VITVI	1.15424
TETNG	GIBZA	1.17998
BATDE	GIBZA	0.93764
NITMS	CAPTE	1.28044
PTEVA	ORYSJ	1.10869
GIBZA	SELML	1.26332
RUTMC	BOMMO	1.13980
OTOGA	PANTR	0.12323
CAPTE	DROME	0.87596
CRYPA	SETIT	1.28469
NITEU	PSEP1	0.90318
NITSB	USTMA	1.14348
MARMM	TOXGO	1.11751
METTH	NOSP7	1.23409
GIAIC	CIOIN	1.23241
NOSP7	ASPFU	1.24868
DIPOR	SELML	1.11337
DANRE	XENTR	0.60050
IGNH4	BRADI	1.18349
GADMO	PHYPA	0.99928
KORCO	GORGO	1.27231
DESAS	PANTR	1.20245
NITGG	ORYSJ	1.20860
LOXAF	YARLI	1.09568
COPPD	CANLF	1.15419
TRIAD	PENCH	1.17748
PYRNV	ECOLI	1.29653
AMPQE	CAPTE	0.99539
TRIEI	OTOGA	1.29968
ECHTE	MOUSE	0.25664
METLZ	BOMMO	1.29199
ECOLI	SOLLC	1.23259
PSEP1	MANES	1.21290
CHOHO	LODEL	1.03141
PICTO	ICTTR	1.35622
ACAM1	CYAME	0.93320
HAEI1	TRICA	1.20356
DICNV	ASHGO	1.20985
LEIMA	MACMU	1.12805
NANEQ	TRIEI	1.36665
SULNB	OTOGA	1.26022
POSPM	MOUSE	1.29241
PYRNV	TRIAD	1.28063
COCLU	PRUPE	1.30313
PSEP1	BRADI	1.19855
HORSE	SOYBN	1.16695
TRIAD	KLULA	1.07981
CLAM3	TAKRU	1.26957
GEOSL	LODEL	1.18980
METFK	PHYPA	1.05444
THEPD	ANOCA	1.27560
BOVIN	MUCCI	1.01444
PICTO	DIPOR	1.31574
PEDHC	VITVI	1.17081
CHOHO	PROCA	0.17542
COPCI	ACYPI	1.20800
DECAR	PHACH	1.15450
DICNV	MACEU	1.17001
METS5	CAMC5	1.33900
SPIPN	TUPBE	0.95915
ARCFU	NOSA0	1.22306
COPCI	CIOSA	1.17741
ZYMMO	GUITH	1.09737
TRIV2	BDEBA	1.18274
CRYNJ	NEUCR	0.92960
ECHTE	TAKRU	0.47272
HELRO	VERDA	1.10345
MICMU	MONDO	0.24542
SYNJA	SETIT	0.95482
NITOC	RHIOR	1.08060
THEEB	LEPOC	1.16625
ARCFU	TAEGU	1.23871
CENSY	IXOSC	1.24752
SPIPN	SCHMA	1.00312
HALVD	PEDHC	1.33224
RUTMC	OSTLU	1.10823
TETNG	RHIOR	0.97271
NANEQ	ARATH	1.19955
SACS2	YARLI	1.35296
THEAC	DROME	1.33491
TARSY	SCLS1	1.07241
EMIHU	ECHTE	0.99079
GUITH	STRPU	1.07972
CALMQ	ASHGO	1.31567
CRYPA	GIBZA	0.55374
DICNV	PENCH	1.19395
NANEQ	ECHTE	1.23815
AERPE	ACYPI	1.28751
LEPMJ	HELRO	1.12392
GIAIC	SOYBN	1.13709
SCHCO	SARHA	1.14639
DANRE	ICTTR	0.55767
ATETH	PICST	1.13512
MARMM	SYNP6	1.06537
NOSP7	SPIPN	1.20346
TREME	DROME	1.08306
PELSI	TARSY	0.29057
CAUVC	NITEU	1.05751
THEKO	MONBE	1.21779
CARRP	PROCA	1.17509
CYAME	MYCMG	1.12344
STRPU	DEBHA	1.14981
CAPO3	PHYIT	1.04380
SULMD	BORPD	1.14008
METJA	SORC5	1.29626
METCA	TREME	1.10680
MUSPF	NASVI	0.85839
COXBR	TRIAD	1.21179
ANOCA	RABIT	0.44324
MUSPF	FELCA	0.09219
METFK	RABIT	1.17338
VERDA	ORYSJ	1.22311
DAPPU	LODEL	1.13025
CAEEL	SETIT	1.26797
BRARP	DROME	1.13098
CAUVC	PSEP1	1.04030
CRYNJ	CAVPO	1.06318
THEKO	SULMD	1.38500
AILME	ARATH	1.16655
HAEI1	SCHPO	1.12396
AGRFC	CARRP	1.21930
APIME	CANAW	1.16753
GEOSL	ARATH	1.10438
MACMU	SORAR	0.17568
DESVV	CAPO3	1.17690
EHRCJ	PHYPA	1.00470
PYRNV	XENTR	1.25619
CANLF	MAGGR	1.10310
DICDI	NEMVE	1.16133
SULNB	HELRO	1.27655
DANRE	TRICA	0.87649
BRARP	CAPO3	1.04076
MICAN	METCA	1.04620
PICTO	COXBR	1.36720
AILME	TAKRU	0.47908
TETNG	TURTR	0.46663
OTOGA	MEDTR	1.22545
CAVPO	SORAR	0.19377
GIAIC	TURTR	1.21330
CRYPV	PEDHC	1.10151
CENSY	SCLS1	1.24074
MARMM	MACEU	1.15960
AERPE	AZOPC	1.39063
PROMA	CAPO3	1.15789
ATETH	NOMLE	1.19959
CANLF	GASAC	0.46743
MARM1	OCHPR	1.18360
OSTLU	MICMU	1.00175
TRIV2	XENTR	1.24533
NITGG	PSEP1	1.30379
NITOC	YEAST	1.14875
LEPMJ	AMPQE	1.11433
NITMS	DESVV	1.29415
ATETH	OSTLU	0.97679
NEIG1	TRIAD	1.19290
CALMQ	MICAN	1.33991
CONWI	CAPO3	1.22041
GUITH	AILME	1.07572
BRARP	MICMU	1.04999
CAEEL	ORYLA	0.98259
MARM1	GUITH	1.13954
NANEQ	MANES	1.21328
THEKO	VERDA	1.24312
CLAM3	ECHTE	1.22387
PANTR	TAKRU	0.47273
HUMAN	MONDO	0.26227
THEKO	YARLI	1.25410
GUITH	ENCCU	1.12124
AERHH	NEUCR	1.19119
CLAM3	MAGGR	1.24983
CAPTE	OTOGA	0.81505
SULNB	RATNO	1.22217
RABIT	YARLI	1.07800
SYNJA	DICDI	1.18539
ORYLA	PONAB	0.47191
NANEQ	VERDA	1.21804
SYNP6	MEDTR	0.97997
SYNP6	SOYBN	0.97922
CARRP	PICST	1.19034
ARCFU	SORC5	1.27091
AEDAE	ECHTE	0.85618
GEOSL	CYAME	1.03013
METCA	OSTLU	1.04081
PHACH	CALJA	1.04758
LEIMA	TRIAD	1.18734
GEOSL	BRAFL	1.24331
HALVD	SCHPO	1.29641
PICTO	HUMAN	1.36066
BORPD	OSTLU	1.12980
TOXGO	AMPQE	1.07566
MICAN	SYNP6	0.58147
CHICK	LOTGI	0.78151
